season,winning_team
1951,BOS
1952,GSW
1953,LAL
1954,BOS
1955,BOS
1956,ATL
1957,BOS
1958,ATL
1959,ATL
1960,GSW
1961,SAC
1962,ATL
1963,BOS
1964,SAC
1965,SAC
1966,SAC
1967,GSW
1968,PHI
1969,SAC
1970,NYK
1971,OKC
1972,LAL
1973,BOS
1974,DET
1975,NYK
1976,WAS
1977,PHI
1978,LAC
1979,DEN
1980,SAS
1981,BOS
1982,BOS
1983,PHI
1984,DET
1985,HOU
1986,DET
1987,OKC
1988,CHI
1989,UTA
1990,LAL
1991,PHI
1992,LAL
1993,UTA
1994,CHI
1995,SAC
1996,CHI
1997,CHA
1998,CHI
2000,SAS
2001,PHI
2002,LAL
2003,MIN
2004,LAL
2005,PHI
2006,CLE
2007,LAL
2008,CLE
2009,LAL
2010,MIA
2011,LAL
2012,OKC
2013,LAC
2014,CLE
2015,OKC
2016,OKC
2017,NOP
2018,CLE
2019,GSW
2020,LAC
2021,MIL
2022,GSW
2023,BOS
2024,MIL
2025,GSW
